frequency,raw
20.000000,3.858697
20.067606,3.892410
20.135440,3.926158
20.203503,3.959946
20.271796,3.993770
20.340321,4.027632
20.409076,4.061034
20.478065,4.091193
20.547286,4.121379
20.616742,4.151958
20.686432,4.186009
20.756358,4.220100
20.826520,4.254111
20.896919,4.287776
20.967557,4.321478
21.038433,4.353461
21.109549,4.380466
21.180905,4.407484
21.252502,4.434517
21.324341,4.461564
21.396423,4.488627
21.468749,4.515642
21.541319,4.542577
21.614135,4.569526
21.687197,4.595253
21.760505,4.618900
21.834062,4.642549
21.907867,4.667924
21.981922,4.694946
22.056227,4.721982
22.130783,4.747180
22.205591,4.770845
22.280652,4.794515
22.355967,4.818187
22.431536,4.841863
22.507361,4.865543
22.583442,4.889226
22.659780,4.912911
22.736376,4.936602
22.813232,4.957980
22.890347,4.978323
22.967722,4.998659
23.045360,5.021393
23.123259,5.045100
23.201422,5.068810
23.279849,5.092524
23.358542,5.116241
23.437500,5.139961
23.516725,5.163686
23.596218,5.187413
23.675980,5.211145
23.756011,5.234879
23.836313,5.258617
23.916886,5.282359
23.997732,5.306104
24.078851,5.329854
24.160244,5.353607
24.241912,5.377362
24.323857,5.401122
24.406078,5.424642
24.488577,5.445110
24.571356,5.465570
24.654414,5.486197
24.737752,5.509976
24.821373,5.533757
24.905276,5.557543
24.989462,5.581333
25.073934,5.602190
25.158690,5.622632
25.243734,5.643076
25.329065,5.663525
25.414684,5.683979
25.500592,5.704434
25.586791,5.724894
25.673282,5.744461
25.760065,5.761590
25.847141,5.778711
25.934511,5.796767
26.022177,5.817244
26.110139,5.837725
26.198399,5.858209
26.286956,5.878698
26.375813,5.899190
26.464971,5.919685
26.554430,5.940183
26.644191,5.960686
26.734256,5.981193
26.824625,6.001703
26.915300,6.022216
27.006281,6.041019
27.097569,6.058159
27.189167,6.075293
27.281074,6.094308
27.373291,6.114841
27.465820,6.135377
27.558662,6.153745
27.651818,6.170838
27.745289,6.187923
27.839076,6.207558
27.933179,6.228114
28.027601,6.248672
28.122342,6.266652
28.217404,6.283823
28.312786,6.300986
28.408491,6.320946
28.504520,6.341523
28.600873,6.362105
28.697552,6.382691
28.794557,6.403281
28.891891,6.423875
28.989553,6.441384
29.087546,6.458606
29.185870,6.475822
29.284526,6.496288
29.383516,6.516901
29.482840,6.537425
29.582501,6.554724
29.682498,6.572016
29.782833,6.589394
29.883507,6.610027
29.984521,6.630666
30.085877,6.651112
30.187576,6.668367
30.289618,6.685615
30.392005,6.703255
30.494739,6.723913
30.597819,6.744575
30.701248,6.764555
30.805027,6.781878
30.909156,6.799193
31.013638,6.816501
31.118473,6.833802
31.223662,6.851095
31.329206,6.869324
31.435107,6.890019
31.541367,6.909130
31.647985,6.924562
31.754964,6.937842
31.862305,6.951115
31.970008,6.964339
32.078076,6.977487
32.186508,6.990628
32.295308,7.005543
32.404475,7.022189
32.514011,7.038837
32.623917,7.053808
32.734195,7.067018
32.844845,7.080221
32.955870,7.093478
33.067270,7.106771
33.179046,7.120057
33.291201,7.135492
33.403734,7.152171
33.516648,7.168856
33.629943,7.183193
33.743622,7.196542
33.857685,7.209883
33.972133,7.223216
34.086968,7.236542
34.202191,7.249862
34.317804,7.263172
34.433808,7.276476
34.550204,7.289772
34.666993,7.303142
34.784177,7.316522
34.901757,7.329895
35.019734,7.343260
35.138111,7.356616
35.256887,7.369966
35.376065,7.383310
35.495646,7.396644
35.615631,7.409973
35.736022,7.423293
35.856819,7.436605
35.978025,7.449918
36.099641,7.463311
36.221668,7.476698
36.344107,7.490088
36.466960,7.503553
36.590228,7.517010
36.713913,7.530450
36.838017,7.543800
36.962539,7.557142
37.087483,7.570498
37.212849,7.583919
37.338638,7.597334
37.464853,7.610765
37.591495,7.624256
37.718564,7.637739
37.846064,7.651214
37.973994,7.664683
38.102356,7.678146
38.231153,7.691600
38.360384,7.705048
38.490053,7.718487
38.620160,7.731920
38.750707,7.745347
38.881695,7.758765
39.013126,7.770600
39.145001,7.780712
39.277322,7.790806
39.410090,7.802722
39.543307,7.816280
39.676974,7.829829
39.811093,7.843373
39.945666,7.856911
40.080693,7.868336
40.216177,7.878337
40.352119,7.888329
40.488520,7.898316
40.625382,7.908294
40.762707,7.918265
40.900496,7.928227
41.038751,7.938244
41.177474,7.948275
41.316665,7.958300
41.456327,7.968316
41.596460,7.978326
41.737068,7.988329
41.878151,7.998392
42.019710,8.008461
42.161748,8.018523
42.304267,8.028577
42.447267,8.038625
42.590750,8.048665
42.734719,8.058771
42.879174,8.068876
43.024117,8.078974
43.169551,8.085819
43.315476,8.092509
43.461894,8.099180
43.608807,8.105989
43.756217,8.112776
43.904125,8.119543
44.052533,8.126137
44.201443,8.132713
44.350856,8.139313
44.500774,8.146159
44.651199,8.152988
44.802132,8.159799
44.953576,8.166590
45.105531,8.173364
45.258000,8.180741
45.410985,8.190878
45.564486,8.201007
45.718507,8.210272
45.873048,8.216953
46.028111,8.223614
46.183699,8.231501
46.339813,8.241740
46.496454,8.251973
46.653625,8.261009
46.811327,8.267726
46.969562,8.274427
47.128332,8.281171
47.287639,8.287980
47.447484,8.294771
47.607870,8.303232
47.768798,8.313482
47.930269,8.323725
48.092287,8.330530
48.254852,8.333984
48.417967,8.337409
48.581633,8.340803
48.745852,8.344169
48.910626,8.347502
49.075958,8.350942
49.241848,8.354427
49.408299,8.357882
49.575313,8.361450
49.742891,8.365050
49.911036,8.368622
50.079749,8.373093
50.249032,8.376886
50.418888,8.380662
50.589317,8.384417
50.760323,8.388155
50.931907,8.391871
51.104071,8.392858
51.276817,8.393285
51.450146,8.393683
51.624062,8.397187
51.798566,8.401076
51.973659,8.404947
52.149344,8.408801
52.325623,8.412634
52.502499,8.416449
52.679971,8.420244
52.858044,8.424022
53.036719,8.427658
53.215998,8.428145
53.395882,8.428601
53.576375,8.429348
53.757478,8.433287
53.939193,8.437208
54.121523,8.440713
54.304468,8.441208
54.488032,8.441674
54.672217,8.442707
54.857024,8.446535
55.042456,8.450344
55.228514,8.453331
55.415202,8.454015
55.602521,8.454670
55.790473,8.456163
55.979060,8.460003
56.168284,8.463825
56.358149,8.467714
56.548655,8.471742
56.739805,8.475750
56.931601,8.478417
57.124045,8.478831
57.317140,8.479216
57.510888,8.481304
57.705291,8.485338
57.900350,8.489354
58.096070,8.493353
58.292450,8.497330
58.489495,8.501291
58.687205,8.505233
58.885584,8.509156
59.084634,8.513061
59.284356,8.517090
59.484754,8.521188
59.685829,8.525268
59.887583,8.527095
60.090020,8.527594
60.293140,8.528061
60.496948,8.528744
60.701444,8.529490
60.906632,8.530209
61.112513,8.528398
61.319090,8.525670
61.526365,8.522902
61.734342,8.522787
61.943021,8.523355
62.152405,8.523896
62.362497,8.524549
62.573300,8.525197
62.784815,8.525813
62.997045,8.526550
63.209992,8.523534
63.423659,8.520433
63.638049,8.517459
63.853163,8.514459
64.069004,8.511428
64.285575,8.511737
64.502878,8.512040
64.720915,8.512156
64.939690,8.509005
65.159204,8.505822
65.379460,8.502652
65.600461,8.499724
65.822208,8.496764
66.044705,8.493776
66.267955,8.490756
66.491959,8.487708
66.716720,8.484629
66.942241,8.481520
67.168524,8.478380
67.395572,8.475297
67.623388,8.472401
67.851973,8.469474
68.081332,8.466518
68.311465,8.463534
68.542377,8.460517
68.774069,8.457472
69.006544,8.454396
69.239805,8.451289
69.473855,8.448285
69.708696,8.445413
69.944330,8.442512
70.180761,8.439582
70.417992,8.436621
70.656024,8.433631
70.894861,8.430685
71.134505,8.427779
71.374959,8.424843
71.616226,8.419959
71.858309,8.413553
72.101210,8.407107
72.344932,8.402891
72.589477,8.399948
72.834850,8.396975
73.081052,8.391727
73.328086,8.385451
73.575955,8.379133
73.824662,8.375406
74.074209,8.372564
74.324601,8.369690
74.575838,8.364142
74.827925,8.357802
75.080864,8.351423
75.334658,8.348018
75.589310,8.345133
75.844823,8.342218
76.101199,8.339395
76.358442,8.336556
76.616555,8.333687
76.875540,8.330915
77.135400,8.328120
77.396139,8.325295
77.657759,8.319092
77.920264,8.312799
78.183656,8.306649
78.447938,8.303837
78.713114,8.300995
78.979186,8.298137
79.246157,8.295367
79.514031,8.292567
79.782811,8.289221
80.052498,8.282488
80.323098,8.273095
80.594612,8.264370
80.867044,8.258427
81.140397,8.252454
81.414674,8.245654
81.689878,8.236221
81.966012,8.226751
82.243080,8.218301
82.521084,8.212302
82.800028,8.206275
83.079915,8.199057
83.360748,8.189709
83.642530,8.180321
83.925265,8.170956
84.208956,8.161648
84.493605,8.152296
84.779217,8.144497
85.065794,8.138596
85.353340,8.132664
85.641857,8.125035
85.931350,8.115639
86.221822,8.106200
86.513276,8.096898
86.805714,8.087692
87.099142,8.078446
87.393561,8.069159
87.688975,8.059830
87.985388,8.050462
88.282803,8.041151
88.581223,8.031854
88.880652,8.022517
89.181093,8.013245
89.482550,8.003978
89.785025,7.994669
90.088523,7.982896
90.393047,7.970274
90.698601,7.957599
91.005187,7.947596
91.312810,7.938233
91.621472,7.928830
91.931178,7.916699
92.241930,7.904134
92.553734,7.891517
92.866591,7.882096
93.180505,7.872933
93.495481,7.863729
93.811522,7.854483
94.128630,7.845197
94.446811,7.835804
94.766067,7.823363
95.086403,7.810870
95.407821,7.798326
95.730326,7.785730
96.053921,7.773079
96.378609,7.760399
96.704396,7.747822
97.031283,7.735193
97.359275,7.722575
97.688377,7.710190
98.018590,7.697754
98.349920,7.685979
98.682370,7.676831
99.015943,7.667641
99.350645,7.657533
99.686477,7.645008
100.023445,7.632212
100.361552,7.616487
100.700801,7.600822
101.041198,7.585105
101.382745,7.569464
101.725447,7.553976
102.069307,7.538436
102.414329,7.522843
102.760518,7.507196
103.107876,7.491496
103.456409,7.477438
103.806121,7.465194
104.157014,7.452908
104.509093,7.438918
104.862363,7.423446
105.216826,7.407919
105.572488,7.392341
105.929352,7.376711
106.287423,7.361027
106.646704,7.345391
107.007199,7.329761
107.368913,7.314079
107.731849,7.298564
108.096012,7.283092
108.461407,7.267570
108.828036,7.251992
109.195905,7.236363
109.565017,7.220681
109.935377,7.205194
110.306989,7.189719
110.679857,7.174189
111.053985,7.158736
111.429378,7.143255
111.806040,7.127722
112.183975,7.109288
112.563188,7.090414
112.943683,7.071477
113.325464,7.055790
113.708535,7.040295
114.092901,7.024749
114.478566,7.005974
114.865536,6.987077
115.253813,6.968242
115.643402,6.952780
116.034309,6.937269
116.426537,6.921401
116.820091,6.902537
117.214975,6.883609
117.611193,6.865189
118.008752,6.849850
118.407654,6.834458
118.807904,6.819041
119.209508,6.803687
119.612469,6.788281
120.016792,6.772856
120.422482,6.757487
120.829543,6.742065
121.237980,6.726631
121.647798,6.711246
122.059001,6.695807
122.471594,6.680363
122.885581,6.664960
123.300969,6.649504
123.717760,6.634105
124.135960,6.618820
124.555574,6.603481
124.976606,6.588091
125.399061,6.569070
125.822944,6.549784
126.248261,6.530583
126.675015,6.511463
127.103211,6.492289
127.532855,6.471315
127.963951,6.448933
128.396504,6.426488
128.830520,6.406013
129.266003,6.386840
129.702957,6.367613
130.141389,6.348508
130.581303,6.329438
131.022704,6.310316
131.465596,6.291233
131.909986,6.272134
132.355878,6.252982
132.803278,6.236554
133.252189,6.220929
133.702618,6.205262
134.154570,6.186810
134.608050,6.167649
135.063062,6.148434
135.519612,6.132437
135.977706,6.116863
136.437348,6.101247
136.898544,6.082513
137.361298,6.063412
137.825617,6.044258
138.291506,6.025291
138.758969,6.006278
139.228013,5.987273
139.698642,5.971663
140.170862,5.956012
140.644678,5.940578
141.120096,5.928408
141.597120,5.916209
142.075758,5.903596
142.556013,5.888027
143.037892,5.872414
143.521399,5.856778
144.006541,5.841179
144.493323,5.825539
144.981750,5.809901
145.471828,5.794365
145.963563,5.778789
146.456960,5.764135
146.952025,5.751961
147.448763,5.739756
147.947181,5.726437
148.447283,5.710932
148.949076,5.695385
149.452564,5.679832
149.957755,5.664293
150.464654,5.648713
150.973266,5.633171
151.483597,5.617689
151.995653,5.602167
152.509440,5.586646
153.024964,5.571131
153.542231,5.555574
154.061246,5.540070
154.582015,5.524609
155.104545,5.509105
155.628841,5.493662
156.154909,5.478252
156.682756,5.462799
157.212387,5.447306
157.743808,5.431771
158.277026,5.416194
158.812046,5.400757
159.348874,5.385355
159.887517,5.369915
160.427981,5.353327
160.970272,5.336411
161.514396,5.319455
162.060359,5.302522
162.608167,5.285566
163.157828,5.268570
163.709346,5.254605
164.262729,5.241150
164.817982,5.227663
165.375112,5.211202
165.934126,5.194330
166.495029,5.177416
167.057828,5.160538
167.622529,5.143623
168.189140,5.126667
168.757665,5.109832
169.328113,5.092955
169.900488,5.076045
170.474799,5.059245
171.051050,5.042405
171.629250,5.025883
172.209404,5.012491
172.791519,4.999069
173.375602,4.985130
173.961660,4.968320
174.549698,4.951468
175.139724,4.934605
175.731745,4.917826
176.325766,4.901006
176.921796,4.884183
177.519840,4.867434
178.119906,4.850644
178.722001,4.833836
179.326130,4.817039
179.932302,4.800200
180.540523,4.784621
181.150799,4.771298
181.763139,4.757946
182.377548,4.743226
182.994035,4.726483
183.612605,4.709699
184.233266,4.694480
184.856025,4.681145
185.480890,4.667781
186.107866,4.652735
186.736962,4.636039
187.368184,4.619302
188.001540,4.604444
188.637037,4.591095
189.274682,4.577717
189.914483,4.564409
190.556446,4.551133
191.200580,4.537826
191.846890,4.524526
192.495385,4.511216
193.146073,4.497874
193.798960,4.484617
194.454054,4.471374
195.111362,4.458103
195.770892,4.444841
196.432652,4.431563
197.096648,4.418253
197.762889,4.405000
198.431382,4.391736
199.102135,4.378443
199.775155,4.368150
200.450450,4.356130
201.128028,4.343010
201.807896,4.329933
202.490062,4.316842
203.174534,4.303732
203.861320,4.290702
204.550427,4.277654
205.241864,4.264646
205.935638,4.254977
206.631757,4.245303
207.330230,4.235378
208.031063,4.222335
208.734265,4.209271
209.439845,4.196198
210.147809,4.183162
210.858166,4.170107
211.570925,4.157669
212.286093,4.148045
213.003679,4.138416
213.723690,4.129550
214.446135,4.123311
215.171022,4.117077
215.898359,4.109883
216.628155,4.100278
217.360418,4.090666
218.095156,4.081056
218.832377,4.071460
219.572091,4.061856
220.314305,4.052257
221.059028,4.042670
221.806269,4.033075
222.556035,4.024954
223.308336,4.018763
224.063179,4.012577
224.820575,4.006394
225.580530,4.000215
226.343054,3.994040
227.108156,3.987870
227.875844,3.981703
228.646127,3.975541
229.419014,3.971386
230.194514,3.968619
230.972635,3.965866
231.753386,3.960930
232.536776,3.954788
233.322814,3.948649
234.111510,3.942516
234.902871,3.936386
235.696907,3.930260
236.493628,3.926654
237.293042,3.923923
238.095157,3.921208
238.899985,3.918486
239.707532,3.915774
240.517810,3.913077
241.330826,3.910360
242.146591,3.907652
242.965113,3.904959
243.786402,3.902257
244.610467,3.899568
245.437318,3.896895
246.266964,3.894211
247.099414,3.891540
247.934678,3.888885
248.772765,3.886206
249.613686,3.883542
250.457449,3.879611
251.304064,3.877599
252.153541,3.875613
253.005889,3.873647
253.861119,3.871659
254.719240,3.869697
255.580261,3.867242
256.444192,3.861891
257.311044,3.856554
258.180827,3.851924
259.053549,3.849959
259.929221,3.848020
260.807854,3.846087
261.689456,3.844121
262.574038,3.842182
263.461611,3.840252
264.352184,3.838313
265.245767,3.836401
266.142371,3.834485
267.042005,3.832547
267.944681,3.830636
268.850408,3.828729
269.759196,3.826818
270.671056,3.824934
271.585999,3.823039
272.504035,3.821132
273.425173,3.819249
274.349426,3.817355
275.276802,3.815450
