frequency,raw
20.000000,-7.749740
20.067606,-7.743053
20.135440,-7.736367
20.203503,-7.729680
20.271796,-7.722994
20.340321,-7.716307
20.409076,-7.709621
20.478065,-7.702934
20.547286,-7.696248
20.616742,-7.689561
20.686432,-7.682875
20.756358,-7.676188
20.826520,-7.669502
20.896919,-7.662815
20.967557,-7.656128
21.038433,-7.649441
21.109549,-7.642755
21.180905,-7.636068
21.252502,-7.629382
21.324341,-7.622695
21.396423,-7.616009
21.468749,-7.609322
21.541319,-7.602636
21.614135,-7.595949
21.687197,-7.589263
21.760505,-7.582576
21.834062,-7.575890
21.907867,-7.569203
21.981922,-7.562516
22.056227,-7.555829
22.130783,-7.549143
22.205591,-7.542456
22.280652,-7.535770
22.355967,-7.529083
22.431536,-7.522397
22.507361,-7.515710
22.583442,-7.509024
22.659780,-7.502337
22.736376,-7.495651
22.813232,-7.488964
22.890347,-7.482278
22.967722,-7.475591
23.045360,-7.468904
23.123259,-7.462217
23.201422,-7.455531
23.279849,-7.448844
23.358542,-7.442158
23.437500,-7.435471
23.516725,-7.428785
23.596218,-7.422098
23.675980,-7.415412
23.756011,-7.408725
23.836313,-7.402039
23.916886,-7.395352
23.997732,-7.388666
24.078851,-7.381979
24.160244,-7.375292
24.241912,-7.368605
24.323857,-7.361919
24.406078,-7.355232
24.488577,-7.348546
24.571356,-7.341859
24.654414,-7.335172
24.737752,-7.328486
24.821373,-7.321799
24.905276,-7.315113
24.989462,-7.308427
25.073934,-7.301740
25.158690,-7.295054
25.243734,-7.288366
25.329065,-7.281679
25.414684,-7.274993
25.500592,-7.268307
25.586791,-7.261620
25.673282,-7.254933
25.760065,-7.248247
25.847141,-7.241560
25.934511,-7.234874
26.022177,-7.228187
26.110139,-7.221501
26.198399,-7.214814
26.286956,-7.208128
26.375813,-7.201441
26.464971,-7.194754
26.554430,-7.188067
26.644191,-7.181381
26.734256,-7.174694
26.824625,-7.168008
26.915300,-7.161321
27.006281,-7.154635
27.097569,-7.147948
27.189167,-7.141262
27.281074,-7.134575
27.373291,-7.127889
27.465820,-7.121202
27.558662,-7.114516
27.651818,-7.107829
27.745289,-7.101142
27.839076,-7.094455
27.933179,-7.087769
28.027601,-7.081082
28.122342,-7.074396
28.217404,-7.067709
28.312786,-7.061023
28.408491,-7.054336
28.504520,-7.047650
28.600873,-7.040963
28.697552,-7.034277
28.794557,-7.027590
28.891891,-7.020904
28.989553,-7.014217
29.087546,-7.007530
29.185870,-7.000843
29.284526,-6.994157
29.383516,-6.987470
29.482840,-6.980784
29.582501,-6.974097
29.682498,-6.967411
29.782833,-6.960724
29.883507,-6.954038
29.984521,-6.947351
30.085877,-6.940665
30.187576,-6.933978
30.289618,-6.927292
30.392005,-6.920605
30.494739,-6.913918
30.597819,-6.907231
30.701248,-6.900545
30.805027,-6.893858
30.909156,-6.887172
31.013638,-6.880485
31.118473,-6.873799
31.223662,-6.867112
31.329206,-6.860426
31.435107,-6.853739
31.541367,-6.847053
31.647985,-6.840366
31.754964,-6.833680
31.862305,-6.826993
31.970008,-6.820306
32.078076,-6.813619
32.186508,-6.806933
32.295308,-6.800246
32.404475,-6.793560
32.514011,-6.786873
32.623917,-6.780187
32.734195,-6.773500
32.844845,-6.766814
32.955870,-6.760127
33.067270,-6.753441
33.179046,-6.746754
33.291201,-6.740068
33.403734,-6.733381
33.516648,-6.726694
33.629943,-6.720007
33.743622,-6.713321
33.857685,-6.706634
33.972133,-6.699948
34.086968,-6.693261
34.202191,-6.686575
34.317804,-6.679888
34.433808,-6.673202
34.550204,-6.666515
34.666993,-6.659829
34.784177,-6.653142
34.901757,-6.646456
35.019734,-6.639769
35.138111,-6.633082
35.256887,-6.626395
35.376065,-6.619709
35.495646,-6.613022
35.615631,-6.606336
35.736022,-6.599649
35.856819,-6.592963
35.978025,-6.586276
36.099641,-6.579590
36.221668,-6.572903
36.344107,-6.566217
36.466960,-6.559530
36.590228,-6.552844
36.713913,-6.546157
36.838017,-6.539470
36.962539,-6.532783
37.087483,-6.526097
37.212849,-6.519410
37.338638,-6.512724
37.464853,-6.506037
37.591495,-6.499351
37.718564,-6.492664
37.846064,-6.485978
37.973994,-6.479291
38.102356,-6.472605
38.231153,-6.465918
38.360384,-6.459232
38.490053,-6.452544
38.620160,-6.445858
38.750707,-6.439171
38.881695,-6.432485
39.013126,-6.425798
39.145001,-6.419112
39.277322,-6.412425
39.410090,-6.405739
39.543307,-6.399052
39.676974,-6.392366
39.811093,-6.385679
39.945666,-6.378993
40.080693,-6.372306
40.216177,-6.365620
40.352119,-6.358932
40.488520,-6.352246
40.625382,-6.345559
40.762707,-6.338873
40.900496,-6.332186
41.038751,-6.325500
41.177474,-6.318813
41.316665,-6.312127
41.456327,-6.305440
41.596460,-6.298754
41.737068,-6.292067
41.878151,-6.285381
42.019710,-6.278694
42.161748,-6.272008
42.304267,-6.265320
42.447267,-6.258634
42.590750,-6.251947
42.734719,-6.245261
42.879174,-6.238574
43.024117,-6.231888
43.169551,-6.225201
43.315476,-6.218515
43.461894,-6.211828
43.608807,-6.205142
43.756217,-6.198455
43.904125,-6.191769
44.052533,-6.185082
44.201443,-6.178396
44.350856,-6.171708
44.500774,-6.165022
44.651199,-6.158335
44.802132,-6.151649
44.953576,-6.144962
45.105531,-6.138276
45.258000,-6.131589
45.410985,-6.124903
45.564486,-6.118216
45.718507,-6.111530
45.873048,-6.104843
46.028111,-6.098157
46.183699,-6.091470
46.339813,-6.084783
46.496454,-6.078096
46.653625,-6.071409
46.811327,-6.064723
46.969562,-6.058037
47.128332,-6.051350
47.287639,-6.044663
47.447484,-6.037977
47.607870,-6.031290
47.768798,-6.024604
47.930269,-6.017917
48.092287,-6.011231
48.254852,-6.004544
48.417967,-5.997858
48.581633,-5.991171
48.745852,-5.984484
48.910626,-5.977797
49.075958,-5.971111
49.241848,-5.964424
49.408299,-5.957738
49.575313,-5.951051
49.742891,-5.944365
49.911036,-5.937678
50.079749,-5.930992
50.249032,-5.924305
50.418888,-5.917619
50.589317,-5.910932
50.760323,-5.904246
50.931907,-5.897559
51.104071,-5.890872
51.276817,-5.884185
51.450146,-5.877499
51.624062,-5.870812
51.798566,-5.864126
51.973659,-5.857439
52.149344,-5.850753
52.325623,-5.844066
52.502499,-5.837380
52.679971,-5.830693
52.858044,-5.824007
53.036719,-5.817320
53.215998,-5.810634
53.395882,-5.803947
53.576375,-5.797260
53.757478,-5.790573
53.939193,-5.783887
54.121523,-5.777200
54.304468,-5.770514
54.488032,-5.763827
54.672217,-5.757141
54.857024,-5.750454
55.042456,-5.743768
55.228514,-5.737081
55.415202,-5.730395
55.602521,-5.723708
55.790473,-5.717022
55.979060,-5.710335
56.168284,-5.703648
